Status,VendorCode,VendorName,JV Date,InvoiceNo,"InvoiceDate ",Description,InvoiceAmt,Total GST,IGSTAmount,CGSTAmount,SGSTAmount,TdsAmount,Payable,ExpenseCode,RoundOff,Invoice Created By
BankFile Generated,SC22,IRON MOUNTAIN INDIA PVT LTD,2025-02-05,IND030011144,2025-02-05,"IRON-JAN2025,Storage Chrages For month of Jan-2025",17026.09,3064.70,0.00,1532.35,1532.35,1703.00,18387.79,EXP034,0.00,shaji@flattrade.in
BankFile Generated,SC26,INNODIGITAL SOLUTIONS PVT LTD,2025-02-03,NNO/0578,2025-02-03,"INNO-KYCLICENSE,KYC Solutions License fee for the period Jan-25 to Mar-25",75000.00,13500.00,0.00,6750.00,6750.00,1500.00,87000.00,EXP075,0.00,shaji@flattrade.in
BankFile Generated,SC23,THE POSTMASTER AMBATTUR HO,2025-02-01,951477125,2025-02-01,"POST-DEC2024,Speed post Expenses for Dec-2024",35.00,6.30,0.00,3.15,3.15,0.00,41.30,EXP076,0.00,shaji@flattrade.in
BankFile Generated,SC23,THE POSTMASTER AMBATTUR HO,2025-02-01,317012,2025-02-01,"POST-AMBATTUR, Postal expenses month Dec-2024",3963.00,0.00,0.00,0.00,0.00,0.00,3963.00,EXP076,0.00,shaji@flattrade.in
BankFile Generated,SC23,THE POSTMASTER AMBATTUR HO,2025-02-01,316012,2025-02-01,"POST-AMBATTUR, Postal expenses month October, November-2024",5971.00,0.00,0.00,0.00,0.00,0.00,5971.00,EXP076,0.00,shaji@flattrade.in
BankFile Generated,SC23,THE POSTMASTER AMBATTUR HO,2025-02-01,3272252,2025-02-01,"POST-AMBATTUR, Postal expenses month Jan--2025",2409.00,0.00,0.00,0.00,0.00,0.00,2409.00,EXP076,0.00,shaji@flattrade.in
BankFile Generated,SC23,THE POSTMASTER AMBATTUR HO,2025-03-01,407325,2025-03-01,"POST-AMBATTUR, Postal expenses month Feb--2025",3950.00,0.00,0.00,0.00,0.00,0.00,3950.00,EXP076,0.00,shaji@flattrade.in
BankFile Generated,SC23,THE POSTMASTER AMBATTUR HO,2025-03-01,951521677,2025-03-01,"POST-Feb2024,Speed post Expenses for Feb-2024",75.00,13.50,0.00,6.75,6.75,0.00,88.50,EXP076,0.00,shaji@flattrade.in
BankFile Generated,SC22,IRON MOUNTAIN INDIA PVT LTD,2025-03-05,IND030012511,2025-03-05,"IRON-FEB2025,Storage Chrages For month of Feb-2025",17907.20,3223.30,0.00,1611.65,1611.65,1791.00,19339.50,EXP034,0.00,shaji@flattrade.in
BankFile Verified,SC25,PATHFINDER JOBS PVT LTD,2025-02-01,PPS0629-2425,2025-03-01,"PATHFINDER-POFEFEE,Professional Fees-TN Feb-2024",8250.00,1485.00,0.00,742.50,742.50,825.00,8910.00,EXP023,0.00,shaji@flattrade.in
BankFile Generated,SC22,IRON MOUNTAIN INDIA PVT LTD,2025-04-03,IND030013325,2025-04-03,"IRON-MAR2025,Storage Chrages For month of Mar-2025",16781.64,3020.70,0.00,1510.35,1510.35,1678.00,18124.34,EXP034,0.00,shaji@flattrade.in
BankFile Verified,SC23,THE POSTMASTER AMBATTUR HO,2025-04-01,4614254,2025-04-01,"POST-AMBATTUR, Postal expenses month MAR--2025",3529.00,0.00,0.00,0.00,0.00,0.00,3529.00,EXP076,0.00,shaji@flattrade.in
BankFile Verified,SC26,INNODIGITAL SOLUTIONS PVT LTD,2025-05-14,INNO/0705,2025-04-14,"INNO-KYCLICENSE,KYC Solutions License fee for the period April-25 to June-25",75000.00,13500.00,0.00,6750.00,6750.00,1500.00,87000.00,EXP075,0.00,shaji@flattrade.in
BankFile Verified,SC23,THE POSTMASTER AMBATTUR HO,2025-04-27,951640581,2025-04-27,"POST-MARCH2025,Speed post Expenses for MARCH-2025",655.00,117.90,0.00,58.95,58.95,0.00,772.90,EXP076,0.00,elakiya.r@flattrade.in
BankFile Verified,SC22,IRON MOUNTAIN INDIA PVT LTD,2025-05-03,IND030014270,2025-05-03,"IRON-APRIL2025,Storage Chrages For month of April-2025",16781.64,3020.70,0.00,1510.35,1510.35,1678.00,18124.34,EXP034,0.00,shaji@flattrade.in
BankFile Verified,SC23,THE POSTMASTER AMBATTUR HO,2025-04-30,404254,2025-04-30,"POST-APRIL2025,Speed post Expenses for APRIL-2025",3967.00,0.00,0.00,0.00,0.00,0.00,3967.00,EXP076,0.00,shaji@flattrade.in
Payment Approved,SC22,IRON MOUNTAIN INDIA PVT LTD,2025-06-04,IND030015444,2025-06-04,"IRON-MAY2025,Storage Chrages For month of MAY-2025",19954.79,3591.86,0.00,1795.93,1795.93,1995.00,21551.65,EXP034,0.00,elakiya.r@flattrade.in
Payment Approved,SC34,TIME PACKAGED DRINKING WATER,2023-12-13,TAW30947,2023-11-30,"TIME WATER,Chennai Branch Water Expenses Nov-2023",3150.00,0.00,0.00,0.00,0.00,0.00,3150.00,EXP046,0.00,shaji@flattrade.in
Payment Approved,SC31,FOCUS COMPUTERS PVT LTD,2023-12-16,FC6090/23-24,2023-12-13,"FOCUSCOM-HARDDISK,Harddisk purchased",2500.00,450.00,0.00,225.00,225.00,0.00,2950.00,COM,0.00,shaji@flattrade.in
Payment Approved,SC31,FOCUS COMPUTERS PVT LTD,2023-12-16,FC6061/23-24,2023-12-13,"FOCUSCOM-LAPTOP,Laptop Purchased For Meenambal",56800.00,10224.00,0.00,5112.00,5112.00,0.00,67024.00,ASST,0.00,shaji@flattrade.in
Payment Approved,SC31,FOCUS COMPUTERS PVT LTD,2023-12-16,FC6062/23-24,2023-12-13,"FOCUS-RAM8GB,Focus 8GB RAM Purchased",3000.00,540.00,0.00,270.00,270.00,0.00,3540.00,COM,0.00,shaji@flattrade.in
Payment Approved,SC29,RAZORPAY-PENNY DROP,2023-12-16,VOUCHER-RAZOR,2023-12-16,"RAZORPAY-PENNYDROP,Advance Payment For Razorpay Paid",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
Payment Approved,SC49,PROVANIC,2023-12-20,1585,2023-12-19,"PROVANIC-AMC FLATTRDE,AMC for Flattrade - Monthly Billing Nov 2023",10000.00,0.00,0.00,0.00,0.00,200.00,9800.00,PROVANIC,0.00,shaji@flattrade.in
Payment Approved,SC28,CAMEO COPORATE SERVICES LTD,2023-12-22,TN236420/B/23-24,2023-12-11,"CAMEO-MANPOWER,998399 - Fee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA NOV-2023",68623.95,12352.32,0.00,6176.16,6176.16,686.00,80290.27,CAMEO,0.00,shaji@flattrade.in
Payment Approved,SC31,FOCUS COMPUTERS PVT LTD,2023-12-26,FC6252/23-24,2023-12-19,"FOCUS-8GBDDR4,Hard disk 8GB Purchased",5000.00,900.00,0.00,450.00,450.00,0.00,5900.00,COM,0.00,shaji@flattrade.in
Payment Approved,SC31,FOCUS COMPUTERS PVT LTD,2023-12-27,FC6390/23-24,2023-12-26,"FOCUS-HARDDISK,Hard disk purchased 25gb",5000.00,900.00,0.00,450.00,450.00,0.00,5900.00,COM,0.00,shaji@flattrade.in
Payment Approved,SC34,TIME PACKAGED DRINKING WATER,2024-01-10,TAW0948,2023-12-31,"TPDW-WATER,Chennai Branch Water Expenses Dec-2023",3630.00,0.00,0.00,0.00,0.00,0.00,3630.00,EXP046,0.00,shaji@flattrade.in
Payment Approved,SC29,RAZORPAY-PENNY DROP,2024-01-16,vou-4,2024-01-02,"RAZORPAY-PENNYDROP,Advance Payment For Razorpay Paid",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC28,CAMEO COPORATE SERVICES LTD,2024-01-23,TN237133/B/23-24,2024-01-10,CAMEO-DEC2023-ee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA DEC-2023,68623.95,12352.32,0.00,6176.16,6176.16,686.00,80290.27,CAMEO,0.00,shaji@flattrade.in
BankFile Generated,SC31,FOCUS COMPUTERS PVT LTD,2024-01-29,FC7106/23-24,2024-01-23,"FOCUS-HARDDISK,Lenovo 256gb hard disk purchased",5000.00,900.00,0.00,450.00,450.00,0.00,5900.00,COM,0.00,shaji@flattrade.in
BankFile Generated,SC49,PROVANIC,2024-02-01,1595,2024-01-29,"PROVANIC-AMCFLATTRDE,AMC for Flattrade - Monthly Billing Dec 2023",10000.00,0.00,0.00,0.00,0.00,200.00,9800.00,PROVANIC,0.00,shaji@flattrade.in
BankFile Generated,SC34,TIME PACKAGED DRINKING WATER,2024-02-03,TAW30949,2024-01-31,"TPDW-WATER,Chennai Branch Water Expenses Jan-2024",3810.00,0.00,0.00,0.00,0.00,0.00,3810.00,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-02-08,VOU-7,2024-02-01,"RAZORPAY-ADVANCE,Advance Payment For Razorpay Paid",16000.00,0.00,0.00,0.00,0.00,0.00,16000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC28,CAMEO COPORATE SERVICES LTD,2024-02-13,TN237805/B/23-24,2024-02-09,CAMEO-DEC2023-ee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA Jan-2024,61288.10,11031.86,0.00,5515.93,5515.93,613.00,71706.96,CAMEO,0.00,shaji@flattrade.in
BankFile Generated,SC31,FOCUS COMPUTERS PVT LTD,2024-02-14,FC7632/23-24,2024-02-14,"FOCUS-COMPUTER,Computer Purchased Chennai Branch 7 Qty Hard disk 7 Qty",322000.00,57960.00,0.00,28980.00,28980.00,0.00,379960.00,COM,0.00,shaji@flattrade.in
Rejected,SC33,ICICI LOMBARD,2024-02-19,vou-7,2024-02-19,"ICICI-HEALTHINS,Heath insurance  Aabidha, Sethuraman, Gunaseelan, Vaishnavi Krishna, Dhanush kumar",15977.00,2875.86,2875.86,0.00,0.00,0.00,18853.00,EXP003,0.14,shaji@flattrade.in
BankFile Generated,SC33,ICICI LOMBARD,2024-02-23,VOU-8,2024-02-23,"CICI-HEALTHINS,Heath insurance  Aabidha, Sethuraman, Gunaseelan, Vaishnavi Krishna, Dhanush kumar,Bala murugan,Nandhini.Mohanraj  For Period Of 17/02/2024 to 07/09/2024",17980.00,3236.40,3236.40,0.00,0.00,0.00,21216.00,EXP003,-0.40,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-02-24,VOU-9,2024-02-15,"RAZORPAY-ADVANCE,Advance Payment For Razorpay Paid",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-03-04,vou-10,2024-03-04,"RAZORPAY-ADVANCE,Advance Payment For Razorpay Paid",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC49,PROVANIC,2024-03-05,1598,2024-03-05,"PROVANIC-AMCFLATTRDE,AMC for Flattrade - Monthly Billing for Jan and Feb 2024",20000.00,0.00,0.00,0.00,0.00,400.00,19600.00,PROVANIC,0.00,sethuraman.b@flattrade.in
BankFile Generated,SC28,CAMEO COPORATE SERVICES LTD,2024-03-07,TN238374/B/23-24,2024-03-07,CAMEO-FEB2024-ee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA Feb-2024,54372.00,9786.96,0.00,4893.48,4893.48,544.00,63614.96,CAMEO,0.00,shaji@flattrade.in
BankFile Generated,SC34,TIME PACKAGED DRINKING WATER,2024-02-29,TAW30950,2024-02-29,"TPDW-WATER,Chennai Branch Water Expenses Feb-2024",4350.00,0.00,0.00,0.00,0.00,0.00,4350.00,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-03-22,vou-11,2024-03-22,"RAZORPAY-PENNYDROP,Advance for Razorpay",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC31,FOCUS COMPUTERS PVT LTD,2024-03-25,FC8765/23-24,2024-03-25,"FOCUS-COMPUTER,Computer Purchased Chennai HO 8 Qty, Hard disk 8 Qty",368000.00,66240.00,0.00,33120.00,33120.00,0.00,434240.00,COM,0.00,shaji@flattrade.in
BankFile Generated,SC31,FOCUS COMPUTERS PVT LTD,2024-04-09,FC0260/24-25,2024-04-09,"FOCUS-SSD,Lenovo 256GB SSD harddisk Purchased Qty-1",2500.00,450.00,0.00,225.00,225.00,0.00,2950.00,COMPMAIN,0.00,shaji@flattrade.in
BankFile Generated,SC34,TIME PACKAGED DRINKING WATER,2024-04-01,TAW30951,2024-03-31,"TPDW-WATER,Chennai Branch Water Expenses March-2024",3720.00,0.00,0.00,0.00,0.00,0.00,3720.00,SC34,0.00,shaji@flattrade.in
BankFile Generated,SC49,PROVANIC,2024-04-15,1603,2024-04-15,"PROVANIC-AMCFLATTRDE,AMC for Flattrade - Monthly Billing for March 2024",10000.00,0.00,0.00,0.00,0.00,200.00,9800.00,PROVANIC,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-04-16,16042024,2024-04-16,"RAZORPAY-PENNYDROP,Advance for Razorpay Paid",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC28,CAMEO COPORATE SERVICES LTD,2024-04-15,TN240189/B/24-25,2024-04-15,"CAMEO-MARCH2024,Fee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA Process for the month of March 2024.",30522.15,5493.98,0.00,2746.99,2746.99,305.00,35711.13,CAMEO,0.00,shaji@flattrade.in
BankFile Generated,SC31,FOCUS COMPUTERS PVT LTD,2024-05-08,FC0906/24-25,2024-05-08,"FOCUS-SMPS,Smps Purchased (Bala system)Chennai HO",4850.00,873.00,0.00,436.50,436.50,0.00,5723.00,COM,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-05-11,11052024,2024-05-11,"ZARORPAY-ADVANCE,Advance payment paid to Razorpay",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC34,TIME PACKAGED DRINKING WATER,2024-04-30,011-1,2024-04-30,"TPDW-WATEREXP,Chennai HO Water Expenses April-2024",5790.00,0.00,0.00,0.00,0.00,0.00,5790.00,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC49,PROVANIC,2024-05-20,1605,2024-05-20,"PROVANIC-AMCFLATTRDE,AMC for Flattrade - Monthly Billing for April 2024",10000.00,0.00,0.00,0.00,0.00,200.00,9800.00,PROVANIC,0.00,shaji@flattrade.in
BankFile Generated,SC31,FOCUS COMPUTERS PVT LTD,2024-06-03,FC1682/24-25,2024-06-03,"FOCUS-RAM,Ram purchased Memory TC 8GB DDR4 Qty-8",20000.00,3600.00,0.00,1800.00,1800.00,0.00,23600.00,COM,0.00,shaji@flattrade.in
BankFile Generated,SC34,TIME PACKAGED DRINKING WATER,2024-05-31,TAM30952,2024-05-31,"TPDW-WATER,Water expenses Chennai HO Month May-2024",5460.00,0.00,0.00,0.00,0.00,0.00,5460.00,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC33,ICICI LOMBARD,2024-06-08,08062024,2024-06-08,"ICICI-HEALTHINS,Heath insurance for Sasikala, Shivaraj dakshinamoorthy, Ramakrishnan  Period Of 06/06/2024 to 07/09/2024",4621.00,831.78,831.78,0.00,0.00,0.00,5453.00,EXP003,0.22,shaji@flattrade.in
BankFile Generated,SC32,ICICI PRUDENTIAL LIFE INSURANCE CO LTD,2024-06-11,11062024,2024-06-11,"ICICI-TERMINS,Term insurance for Sethuraman, Aabidha, Selvakumar balakrishnan, Ramakrishanan, Gunaseelan",21885.18,3939.32,0.00,1969.66,1969.66,0.00,25824.50,EXP003,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-06-07,07062024,2024-06-07,"ZARORPAY-ADVANCE,Advance payment paid to Razorpay",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC31,FOCUS COMPUTERS PVT LTD,2024-06-10,FC1875/24-25,2024-06-10,"FOCUS-RAM,Ram purchased QTY-2",5000.00,900.00,0.00,450.00,450.00,0.00,5900.00,COM,0.00,shaji@flattrade.in
BankFile Generated,SC28,CAMEO COPORATE SERVICES LTD,2024-06-14,TN241922/B/24-25,2024-06-14,"CAMEO-MAY2024,Fee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA Process for the month of May 2024.",40350.05,7263.00,0.00,3631.50,3631.50,404.00,47209.05,CAMEO,0.00,shaji@flattrade.in
BankFile Generated,SC49,PROVANIC,2024-06-24,1613,2024-06-24,"PROVANIC-AMCFLATTRDE,AMC for Flattrade - Monthly Billing for May 2024",10000.00,0.00,0.00,0.00,0.00,200.00,9800.00,PROVANIC,0.00,shaji@flattrade.in
BankFile Generated,SC28,CAMEO COPORATE SERVICES LTD,2024-05-10,TN241091/B/24-25,2024-05-10,"CAMEO-APRIL2024,Fee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA Process for the month of April 2024.",41342.50,7441.66,0.00,3720.83,3720.83,413.00,48371.16,CAMEO,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-07-05,05072027,2024-07-05,"ZARORPAY-ADVANCE,Advance payment paid to Razorpay",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC34,TIME PACKAGED DRINKING WATER,2024-06-30,TAW30953,2024-06-30,"TPDW-WATER,Water expenses Chennai HO Month June-2024",5340.00,0.00,0.00,0.00,0.00,0.00,5340.00,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC28,CAMEO COPORATE SERVICES LTD,2024-07-10,TN242513/B/24-25,2024-07-10,"CAMEO-JUNE2024,Fee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA Process for the month of June 2024.",31950.45,5751.08,0.00,2875.54,2875.54,320.00,37381.53,CAMEO,0.00,shaji@flattrade.in
BankFile Generated,SC28,CAMEO COPORATE SERVICES LTD,2024-07-24,24072024,2024-07-24,"CAMEO-ISIN,ISIN Registration fee",54000.00,9720.00,0.00,4860.00,4860.00,0.00,63720.00,EXP005,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-07-26,26072024,2024-07-26,"RAZORPAY-ADVANCE,Advance payment paid to Razorpay",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC34,TIME PACKAGED DRINKING WATER,2024-07-31,TAW30955,2024-07-31,"TPDW-WATER,Water expenses Chennai HO Month July-2024",6000.00,0.00,0.00,0.00,0.00,0.00,6000.00,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC49,PROVANIC,2024-08-09,1624,2024-08-09,"PROVANIC-AMCFLATTRDE,AMC for Flattrade - Monthly Billing for June and July 2024",20000.00,0.00,0.00,0.00,0.00,400.00,19600.00,PROVANIC,0.00,shaji@flattrade.in
BankFile Generated,SC28,CAMEO COPORATE SERVICES LTD,2024-08-09,TN243292/B/24-25,2024-08-09,"CAMEO-JULY2024,Fee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA Process for the month of July 2024.",31457.10,5662.28,0.00,2831.14,2831.14,315.00,36804.38,CAMEO,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-08-23,23082024,2024-08-23,"RAZORPAY-ADVANCE,Advance payment paid to Razorpay",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC34,TIME PACKAGED DRINKING WATER,2024-08-31,TAW30956,2024-08-31,"TPDW-WATER,Water expenses Chennai HO Month Aug-2024",6030.00,0.00,0.00,0.00,0.00,0.00,6030.00,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC28,CAMEO COPORATE SERVICES LTD,2024-09-09,TN244161/B/24-25,2024-09-09,"CAMEO-AUG2024,Fee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA Process for the month of Aug 2024.",27667.85,4980.22,0.00,2490.11,2490.11,277.00,32371.07,CAMEO,0.00,shaji@flattrade.in
BankFile Generated,SC49,PROVANIC,2024-09-10,1628,2024-09-10,"PROVANIC-AMCFLATTRDE,AMC for Flattrade - Monthly Billing for Aug-2024",10000.00,0.00,0.00,0.00,0.00,200.00,9800.00,PROVANIC,0.00,shaji@flattrade.in
BankFile Generated,SC31,FOCUS COMPUTERS PVT LTD,2024-09-09,FC4375/24-25,2024-09-09,"FOCUS-HARDDISK,Hard disk purchased  qty-3",7500.00,1350.00,0.00,675.00,675.00,0.00,8850.00,COM,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-09-16,16092024,2024-09-16,"RAZORPAY-ADVANCE,Advance payment paid to Razorpay",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
Rejected,SC34,TIME PACKAGED DRINKING WATER,2024-09-30,TAW30957,2024-09-30,"TPDW-WATER,Water expenses Chennai HO Month Sep-2024",5160.00,0.00,0.00,0.00,0.00,0.00,5160.00,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC28,CAMEO COPORATE SERVICES LTD,2024-10-09,TN245240/B/24-25,2024-10-09,"CAMEO-SEP2024,Fee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA Process for the month of Sep 2024.",33575.40,6043.58,0.00,3021.79,3021.79,336.00,39282.98,CAMEO,0.00,shaji@flattrade.in
BankFile Generated,SC34,TIME PACKAGED DRINKING WATER,2024-09-30,TAW309571,2024-09-30,"TPDW-WATER,Water expenses Chennai HO Month Sep-2024",5160.00,0.00,0.00,0.00,0.00,0.00,5160.00,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-10-15,15102024,2024-10-15,"RAZORPAY-ADVANCE,Advance payment paid to Razorpay",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC28,CAMEO COPORATE SERVICES LTD,2024-11-08,TN245985/24-25,2024-11-08,"CAMEO-OCT2024,Fee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA Process for the month of oct 2024.",32486.35,5847.54,0.00,2923.77,2923.77,325.00,38008.89,CAMEO,0.00,shaji@flattrade.in
Rejected,SC34,TIME PACKAGED DRINKING WATER,2024-10-31,TAW30958,2024-10-31,"TPDW-WATER,Water expenses Chennai HO Month Oct-2024",5160.00,0.00,0.00,0.00,0.00,0.00,5160.00,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC34,TIME PACKAGED DRINKING WATER,2024-10-31,TAW309581,2024-10-31,"TPDW-WATER,Water expenses Chennai HO Month Oct-2024",5160.00,0.00,0.00,0.00,0.00,0.00,5160.00,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC31,FOCUS COMPUTERS PVT LTD,2024-11-23,FC6222/24-25,2024-11-23,"FOCUS-COMPUTER,Computer Purchased Chennai HO 8 Qty, Ram 8 Qty",356000.00,64080.00,0.00,32040.00,32040.00,0.00,420080.00,COM,0.00,shaji@flattrade.in
BankFile Generated,SC31,FOCUS COMPUTERS PVT LTD,2024-11-23,FC6222/24-25,2024-11-23,"FOCUS-COMPUTER,Computer Purchased Chennai HO 8 Qty, Ram 8 Qty",356000.00,64080.00,0.00,32040.00,32040.00,0.00,420080.00,COM,0.00,shaji@flattrade.in
BankFile Generated,SC31,FOCUS COMPUTERS PVT LTD,2024-11-23,FC6222/24-25,2024-11-23,"FOCUS-COMPUTER,Computer Purchased Chennai HO 8 Qty, Ram 8 Qty",356000.00,64080.00,0.00,32040.00,32040.00,0.00,420080.00,COM,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-11-22,22112024,2024-11-22,"RAZORPAY-ADVANCE,Advance payment paid to Razorpay",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC34,TIME PACKAGED DRINKING WATER,2024-11-30,TAW30959,2024-11-30,"TPDW-WATER,Water expenses Chennai HO Month Nov-2024",4320.00,0.00,0.00,0.00,0.00,0.00,4320.00,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-12-10,10122024,2024-12-10,"RAZORPAY-ADVANCE,Advance payment paid to Razorpay",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC28,CAMEO COPORATE SERVICES LTD,2024-12-12,TN246862/B/24-25,2024-12-12,"CAMEO-NOV2024,Fee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA Process for the month of Nov-2024.",40606.50,7309.18,0.00,3654.59,3654.59,406.00,47509.68,CAMEO,0.00,shaji@flattrade.in
BankFile Generated,SC31,FOCUS COMPUTERS PVT LTD,2024-12-26,FC7124/24-25,2024-12-26,"FOCUS-HARDDISK,Adapter lenovo laptop purchased  qty-1",1100.00,198.00,0.00,99.00,99.00,0.00,1298.00,COM,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2024-12-31,3112024,2024-12-31,"RAZORPAY-ADVANCE,Advance payment paid to Razorpay",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC34,TIME PACKAGED DRINKING WATER,2024-12-31,TAW30960,2024-12-31,"TPDW-WATER,Water expenses Chennai HO Month Dec-2024",5340.00,0.00,0.00,0.00,0.00,0.00,5340.00,EXP046,0.00,shaji@flattrade.in
BankFile Verified,SC28,CAMEO COPORATE SERVICES LTD,2025-01-10,TN247470/B/24-25,2025-01-10,"CAMEO-DEC2024,Fee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA Process for the month of Dec-2024.",40606.50,7309.18,0.00,3654.59,3654.59,406.00,47509.68,CAMEO,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2025-01-18,18012025,2025-01-18,"RAZORPAY-ADVANCE,Advance payment paid to Razorpay",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2025-02-08,08022025,2025-02-08,"RAZORPAY-ADVANCE,Advance payment paid to Razorpay",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC28,CAMEO COPORATE SERVICES LTD,2025-02-13,TN248390/B/24-25,2025-02-13,"CAMEO-JAN2025,Fee for Providing manpower to process CKYC Solution for Account Opening Forms & KRA Process for the month of Jan-2025.",40606.50,7309.18,0.00,3654.59,3654.59,406.00,47509.68,CAMEO,0.00,shaji@flattrade.in
BankFile Generated,SC34,TIME PACKAGED DRINKING WATER,2025-01-31,TAW30961,2025-01-31,"TPDW-WATER,Water expenses Chennai HO Month Jan-2025",4410.00,0.00,0.00,0.00,0.00,0.00,4410.00,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC29,RAZORPAY-PENNY DROP,2025-03-06,06032025,2025-03-06,"RAZORPAY-ADVANCE,Advance payment paid to Razorpay",10000.00,0.00,0.00,0.00,0.00,0.00,10000.00,EXP071,0.00,shaji@flattrade.in
BankFile Generated,SC34,TIME PACKAGED DRINKING WATER,2025-02-28,TAW30962,2025-02-28,"TPDW-WATER,Water expenses Chennai HO Month FEB-2025",4140.00,0.00,0.00,0.00,0.00,0.00,4140.00,EXP046,0.00,shaji@flattrade.in
